model_name,target_capacity_rate,validation_threshold,validation_review_count,validation_queue_rate,validation_precision_hit_rate,validation_recall_fraud_capture_rate,validation_f1,test_review_count,test_queue_rate,test_precision_hit_rate,test_recall_fraud_capture_rate,test_f1,test_true_positives,test_false_positives,test_false_negatives,test_exact_topk_threshold,test_exact_topk_review_count,test_exact_topk_precision_hit_rate,test_exact_topk_recall_fraud_capture_rate,test_exact_topk_f1,test_exact_topk_true_positives,test_exact_topk_false_positives
logistic_regression_balanced,0.01,0.9143123483389933,10,0.01,0.2,0.05,0.08,5,0.005,0.0,0.0,0.0,0,5,40,0.831732496748527,10,0.2,0.05,0.08,2,8
logistic_regression_balanced,0.02,0.8420097350119737,20,0.02,0.15,0.075,0.1,8,0.008,0.125,0.025,0.041666666666666664,1,7,39,0.7975620917319547,20,0.15,0.075,0.1,3,17
logistic_regression_balanced,0.05,0.6777408689094802,50,0.05,0.16,0.2,0.17777777777777778,60,0.06,0.1,0.15,0.12,6,54,34,0.7042063131905469,50,0.12,0.15,0.13333333333333333,6,44
logistic_regression_balanced,0.1,0.5911141112689947,100,0.1,0.12,0.3,0.17142857142857143,116,0.116,0.1206896551724138,0.35,0.1794871794871795,14,102,26,0.6121337493526009,100,0.12,0.3,0.17142857142857143,12,88
logistic_regression_balanced,0.15,0.5686296907206909,150,0.15,0.10666666666666667,0.4,0.16842105263157894,154,0.154,0.09090909090909091,0.35,0.14432989690721648,14,140,26,0.5704735518910556,150,0.09333333333333334,0.35,0.14736842105263157,14,136
random_forest_balanced,0.01,0.6494126519278977,10,0.01,0.0,0.0,0.0,11,0.011,0.09090909090909091,0.025,0.0392156862745098,1,10,39,0.6552901603815683,10,0.1,0.025,0.04,1,9
random_forest_balanced,0.02,0.6088416827183502,20,0.02,0.05,0.025,0.03333333333333333,29,0.029,0.06896551724137931,0.05,0.057971014492753624,2,27,38,0.623332806001718,20,0.05,0.025,0.03333333333333333,1,19
random_forest_balanced,0.05,0.5461524075886852,50,0.05,0.12,0.15,0.13333333333333333,69,0.069,0.057971014492753624,0.1,0.07339449541284404,4,65,36,0.5764927632462736,50,0.06,0.075,0.06666666666666667,3,47
random_forest_balanced,0.1,0.4853961029235867,100,0.1,0.11,0.275,0.15714285714285714,119,0.119,0.08403361344537816,0.25,0.12578616352201258,10,109,30,0.5087156580981098,100,0.08,0.2,0.11428571428571428,8,92
random_forest_balanced,0.15,0.45051243527843576,150,0.15,0.1,0.375,0.15789473684210525,167,0.167,0.09580838323353294,0.4,0.15458937198067632,16,151,24,0.4557919817744639,150,0.09333333333333334,0.35,0.14736842105263157,14,136
extra_trees_balanced,0.01,0.6494883029722982,10,0.01,0.0,0.0,0.0,8,0.008,0.0,0.0,0.0,0,8,40,0.648158609250158,10,0.1,0.025,0.04,1,9
extra_trees_balanced,0.02,0.6408992979639785,20,0.02,0.1,0.05,0.06666666666666667,19,0.019,0.10526315789473684,0.05,0.06779661016949153,2,17,38,0.6400191691241095,20,0.15,0.075,0.1,3,17
extra_trees_balanced,0.05,0.6052759375967751,50,0.05,0.1,0.125,0.1111111111111111,60,0.06,0.11666666666666667,0.175,0.14,7,53,33,0.6124641798344059,50,0.12,0.15,0.13333333333333333,6,44
extra_trees_balanced,0.1,0.590907819317835,100,0.1,0.1,0.25,0.14285714285714285,108,0.108,0.08333333333333333,0.225,0.12162162162162163,9,99,31,0.5920992712599703,100,0.09,0.225,0.12857142857142856,9,91
extra_trees_balanced,0.15,0.5748763214237759,150,0.15,0.08,0.3,0.12631578947368421,153,0.153,0.06535947712418301,0.25,0.10362694300518134,10,143,30,0.5770945788014218,150,0.06666666666666667,0.25,0.10526315789473684,10,140
gradient_boosting_weighted,0.01,0.8158382991861491,10,0.01,0.0,0.0,0.0,3,0.003,0.3333333333333333,0.025,0.046511627906976744,1,2,39,0.7938522476588961,10,0.1,0.025,0.04,1,9
gradient_boosting_weighted,0.02,0.7405876209887895,20,0.02,0.15,0.075,0.1,27,0.027,0.07407407407407407,0.05,0.05970149253731343,2,25,38,0.7667387065463726,20,0.1,0.05,0.06666666666666667,2,18
gradient_boosting_weighted,0.05,0.6853337309040783,50,0.05,0.18,0.225,0.2,58,0.058,0.08620689655172414,0.125,0.10204081632653061,5,53,35,0.6974095238851971,50,0.06,0.075,0.06666666666666667,3,47
gradient_boosting_weighted,0.1,0.6042999635915389,100,0.1,0.12,0.3,0.17142857142857143,120,0.12,0.10833333333333334,0.325,0.1625,13,107,27,0.6287603693523829,100,0.11,0.275,0.15714285714285714,11,89
gradient_boosting_weighted,0.15,0.5617502885868845,150,0.15,0.10666666666666667,0.4,0.16842105263157894,152,0.152,0.1118421052631579,0.425,0.17708333333333334,17,135,23,0.5637046555236561,150,0.11333333333333333,0.425,0.17894736842105263,17,133
adaboost_depth2_weighted,0.01,0.8284293468610855,10,0.01,0.3,0.075,0.12,16,0.016,0.3125,0.125,0.17857142857142858,5,11,35,0.8284293468610855,10,0.5,0.125,0.2,5,5
adaboost_depth2_weighted,0.02,0.8234322561044913,20,0.02,0.15,0.075,0.1,19,0.019,0.3157894736842105,0.15,0.2033898305084746,6,13,34,0.8181944446864117,20,0.3,0.15,0.2,6,14
adaboost_depth2_weighted,0.05,0.7910609346050408,50,0.05,0.18,0.225,0.2,59,0.059,0.13559322033898305,0.2,0.16161616161616163,8,51,32,0.7991090909968392,50,0.14,0.175,0.15555555555555556,7,43
adaboost_depth2_weighted,0.1,0.5901899616252145,100,0.1,0.15,0.375,0.21428571428571427,118,0.118,0.11864406779661017,0.35,0.17721518987341772,14,104,26,0.6281718021648919,100,0.13,0.325,0.18571428571428572,13,87
adaboost_depth2_weighted,0.15,0.5523607618865015,150,0.15,0.11333333333333333,0.425,0.17894736842105263,172,0.172,0.10465116279069768,0.45,0.16981132075471697,18,154,22,0.5538192991306747,150,0.1,0.375,0.15789473684210525,15,135
adaboost_weighted,0.01,0.8416716667198378,10,0.01,0.1,0.025,0.04,11,0.011,0.18181818181818182,0.05,0.0784313725490196,2,9,38,0.8416716667198378,10,0.2,0.05,0.08,2,8
adaboost_weighted,0.02,0.8154675050412732,20,0.02,0.2,0.1,0.13333333333333333,16,0.016,0.25,0.1,0.14285714285714285,4,12,36,0.7983247795313464,20,0.3,0.15,0.2,6,14
adaboost_weighted,0.05,0.7794215264423057,50,0.05,0.18,0.225,0.2,76,0.076,0.13157894736842105,0.25,0.1724137931034483,10,66,30,0.7794215264423057,50,0.2,0.25,0.2222222222222222,10,40
adaboost_weighted,0.1,0.5384614399606098,100,0.1,0.14,0.35,0.2,121,0.121,0.12396694214876033,0.375,0.18633540372670807,15,106,25,0.547711089849667,100,0.14,0.35,0.2,14,86
adaboost_weighted,0.15,0.5194572571217126,150,0.15,0.11333333333333333,0.425,0.17894736842105263,163,0.163,0.10429447852760736,0.425,0.16748768472906403,17,146,23,0.5194572571217126,150,0.10666666666666667,0.4,0.16842105263157894,16,134
