model_name,target_capacity_rate,validation_threshold,validation_review_count,validation_queue_rate,validation_precision_hit_rate,validation_recall_fraud_capture_rate,validation_f1,test_review_count,test_queue_rate,test_precision_hit_rate,test_recall_fraud_capture_rate,test_f1,test_true_positives,test_false_positives,test_false_negatives,test_exact_topk_threshold,test_exact_topk_review_count,test_exact_topk_precision_hit_rate,test_exact_topk_recall_fraud_capture_rate,test_exact_topk_f1,test_exact_topk_true_positives,test_exact_topk_false_positives
logistic_regression_balanced,0.01,0.88180016135331,10,0.01,0.2,0.05,0.08,6,0.006,0.16666666666666666,0.025,0.043478260869565216,1,5,39,0.8585135905063616,10,0.1,0.025,0.04,1,9
logistic_regression_balanced,0.02,0.8214434158014347,20,0.02,0.15,0.075,0.1,17,0.017,0.17647058823529413,0.075,0.10526315789473684,3,14,37,0.8117183723896977,20,0.15,0.075,0.1,3,17
logistic_regression_balanced,0.05,0.6941622565493127,50,0.05,0.08,0.1,0.08888888888888889,53,0.053,0.11320754716981132,0.15,0.12903225806451613,6,47,34,0.7028625206670883,50,0.12,0.15,0.13333333333333333,6,44
logistic_regression_balanced,0.1,0.6079784415901202,100,0.1,0.09,0.225,0.12857142857142856,109,0.109,0.11009174311926606,0.3,0.1610738255033557,12,97,28,0.6154185427736846,100,0.12,0.3,0.17142857142857143,12,88
logistic_regression_balanced,0.15,0.5666083850773771,150,0.15,0.08,0.3,0.12631578947368421,157,0.157,0.09554140127388536,0.375,0.15228426395939088,15,142,25,0.5738897172165224,150,0.1,0.375,0.15789473684210525,15,135
random_forest_balanced,0.01,0.5683744791740265,10,0.01,0.1,0.025,0.04,14,0.014,0.14285714285714285,0.05,0.07407407407407407,2,12,38,0.5836959989222185,10,0.1,0.025,0.04,1,9
random_forest_balanced,0.02,0.5403290704134742,20,0.02,0.05,0.025,0.03333333333333333,25,0.025,0.12,0.075,0.09230769230769231,3,22,37,0.5454160551098021,20,0.1,0.05,0.06666666666666667,2,18
random_forest_balanced,0.05,0.4875397851719833,50,0.05,0.06,0.075,0.06666666666666667,70,0.07,0.1,0.175,0.12727272727272726,7,63,33,0.5107036383144643,50,0.12,0.15,0.13333333333333333,6,44
random_forest_balanced,0.1,0.4431361039337226,100,0.1,0.08,0.2,0.11428571428571428,128,0.128,0.109375,0.35,0.16666666666666666,14,114,26,0.46310633261033723,100,0.12,0.3,0.17142857142857143,12,88
random_forest_balanced,0.15,0.4257022063761007,150,0.15,0.06666666666666667,0.25,0.10526315789473684,154,0.154,0.1038961038961039,0.4,0.16494845360824742,16,138,24,0.42800195511081446,150,0.10666666666666667,0.4,0.16842105263157894,16,134
extra_trees_balanced,0.01,0.6646862468062428,10,0.01,0.0,0.0,0.0,6,0.006,0.16666666666666666,0.025,0.043478260869565216,1,5,39,0.6521052720356859,10,0.2,0.05,0.08,2,8
extra_trees_balanced,0.02,0.6356599984914255,20,0.02,0.05,0.025,0.03333333333333333,15,0.015,0.2,0.075,0.10909090909090909,3,12,37,0.6307491360733021,20,0.15,0.075,0.1,3,17
extra_trees_balanced,0.05,0.6022923080430007,50,0.05,0.04,0.05,0.044444444444444446,58,0.058,0.1206896551724138,0.175,0.14285714285714285,7,51,33,0.6064507865173799,50,0.12,0.15,0.13333333333333333,6,44
extra_trees_balanced,0.1,0.568693630644427,100,0.1,0.06,0.15,0.08571428571428572,113,0.113,0.08849557522123894,0.25,0.13071895424836602,10,103,30,0.5760272406337215,100,0.08,0.2,0.11428571428571428,8,92
extra_trees_balanced,0.15,0.5281415563941075,150,0.15,0.06,0.225,0.09473684210526316,174,0.174,0.07471264367816093,0.325,0.12149532710280374,13,161,27,0.5426448682661387,150,0.08666666666666667,0.325,0.1368421052631579,13,137
gradient_boosting_weighted,0.01,0.7785560976661321,10,0.01,0.0,0.0,0.0,3,0.003,0.3333333333333333,0.025,0.046511627906976744,1,2,39,0.7538923431321404,10,0.3,0.075,0.12,3,7
gradient_boosting_weighted,0.02,0.736365102671531,20,0.02,0.0,0.0,0.0,16,0.016,0.1875,0.075,0.10714285714285714,3,13,37,0.7264634429695324,20,0.25,0.125,0.16666666666666666,5,15
gradient_boosting_weighted,0.05,0.6535040434682363,50,0.05,0.1,0.125,0.1111111111111111,54,0.054,0.14814814814814814,0.2,0.1702127659574468,8,46,32,0.6622589626144958,50,0.16,0.2,0.17777777777777778,8,42
gradient_boosting_weighted,0.1,0.5791130782538594,100,0.1,0.1,0.25,0.14285714285714285,104,0.104,0.125,0.325,0.18055555555555555,13,91,27,0.5817113424438669,100,0.13,0.325,0.18571428571428572,13,87
gradient_boosting_weighted,0.15,0.5390281264832826,150,0.15,0.11333333333333333,0.425,0.17894736842105263,145,0.145,0.1103448275862069,0.4,0.17297297297297298,16,129,24,0.5343965453439369,150,0.10666666666666667,0.4,0.16842105263157894,16,134
adaboost_depth2_weighted,0.01,0.8117612465704072,10,0.01,0.2,0.05,0.08,10,0.01,0.5,0.125,0.2,5,5,35,0.8117612465704072,10,0.5,0.125,0.2,5,5
adaboost_depth2_weighted,0.02,0.8086917093488355,20,0.02,0.1,0.05,0.06666666666666667,23,0.023,0.21739130434782608,0.125,0.15873015873015872,5,18,35,0.8086917093488355,20,0.25,0.125,0.16666666666666666,5,15
adaboost_depth2_weighted,0.05,0.7976891621674433,50,0.05,0.14,0.175,0.15555555555555556,74,0.074,0.13513513513513514,0.25,0.17543859649122806,10,64,30,0.7976891621674433,50,0.18,0.225,0.2,9,41
adaboost_depth2_weighted,0.1,0.5741694452348469,100,0.1,0.14,0.35,0.2,102,0.102,0.12745098039215685,0.325,0.18309859154929578,13,89,27,0.5741694452348469,100,0.13,0.325,0.18571428571428572,13,87
adaboost_depth2_weighted,0.15,0.5570665491232135,150,0.15,0.10666666666666667,0.4,0.16842105263157894,164,0.164,0.0975609756097561,0.4,0.1568627450980392,16,148,24,0.5570665491232135,150,0.1,0.375,0.15789473684210525,15,135
adaboost_weighted,0.01,0.8414726410053271,10,0.01,0.1,0.025,0.04,10,0.01,0.2,0.05,0.08,2,8,38,0.8414726410053271,10,0.2,0.05,0.08,2,8
adaboost_weighted,0.02,0.8151429133726253,20,0.02,0.15,0.075,0.1,16,0.016,0.25,0.1,0.14285714285714285,4,12,36,0.7795058313393747,20,0.25,0.125,0.16666666666666666,5,15
adaboost_weighted,0.05,0.7795058313393747,50,0.05,0.18,0.225,0.2,74,0.074,0.13513513513513514,0.25,0.17543859649122806,10,64,30,0.7795058313393747,50,0.2,0.25,0.2222222222222222,10,40
adaboost_weighted,0.1,0.5274302725315502,100,0.1,0.14,0.35,0.2,148,0.148,0.10810810810810811,0.4,0.1702127659574468,16,132,24,0.5274302725315502,100,0.14,0.35,0.2,14,86
adaboost_weighted,0.15,0.5179290076527937,150,0.15,0.11333333333333333,0.425,0.17894736842105263,224,0.224,0.08482142857142858,0.475,0.14393939393939395,19,205,21,0.5179290076527937,150,0.10666666666666667,0.4,0.16842105263157894,16,134
