case_rank,transaction_id,event_ts,actual_fraud_label,existing_alert_generated,predicted_fraud_probability,prediction,priority_tier,reason_1,reason_2,reason_3
1,T9007602,2025-03-22 21:21:00,0,1,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 1525.900 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
2,T9031208,2025-02-16 15:36:00,0,1,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 2131.000 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
3,T9010735,2025-04-13 09:00:00,0,1,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 2848.100 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
4,T9007479,2025-02-20 04:53:00,1,0,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 4862.800 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
5,T9053891,2025-04-04 15:18:00,0,0,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 3169.700 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
6,T9031211,2025-01-12 13:50:00,0,0,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 1651.100 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
7,T9063443,2025-02-05 06:51:00,1,0,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 1633.600 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
8,T9049635,2025-03-18 16:26:00,0,0,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 2073.000 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
9,T9052765,2025-01-19 22:51:00,0,0,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 2286.300 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
10,T9061208,2025-03-21 17:18:00,0,1,0.8414726410053271,Review as fraud risk,Critical,geographic distance was 1894.800 compared with a typical value of 17.600; this increased the model risk score by 0.324.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.062.,No additional material risk-increasing driver was detected.
11,T9039240,2025-02-23 07:32:00,0,0,0.8346574206699189,Review as fraud risk,Critical,geographic distance was 3300.300 compared with a typical value of 17.600; this increased the model risk score by 0.329.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.064.,No additional material risk-increasing driver was detected.
12,T9053206,2025-02-10 17:23:00,0,0,0.8277721109166959,Review as fraud risk,Critical,geographic distance was 944.100 compared with a typical value of 17.600; this increased the model risk score by 0.310.,payment channel was P2P compared with a typical value of Card Present; this increased the model risk score by 0.066.,No additional material risk-increasing driver was detected.
13,T9042990,2025-04-17 05:09:00,0,0,0.8151429133726253,Review as fraud risk,Critical,geographic distance was 1370.600 compared with a typical value of 17.600; this increased the model risk score by 0.344.,transaction amount was 264.810 compared with a typical value of 55.425; this increased the model risk score by 0.029.,log-scaled transaction amount was 5.583 compared with a typical value of 4.033; this increased the model risk score by 0.006.
14,T9060368,2025-04-04 12:13:00,1,1,0.8151429133726253,Review as fraud risk,Critical,geographic distance was 1475.600 compared with a typical value of 17.600; this increased the model risk score by 0.344.,transaction amount was 378.460 compared with a typical value of 55.425; this increased the model risk score by 0.029.,log-scaled transaction amount was 5.939 compared with a typical value of 4.033; this increased the model risk score by 0.006.
15,T9030658,2025-04-05 07:14:00,1,0,0.8151429133726253,Review as fraud risk,Critical,geographic distance was 1287.700 compared with a typical value of 17.600; this increased the model risk score by 0.344.,transaction amount was 330.950 compared with a typical value of 55.425; this increased the model risk score by 0.029.,log-scaled transaction amount was 5.805 compared with a typical value of 4.033; this increased the model risk score by 0.006.
16,T9051526,2025-01-16 00:20:00,0,0,0.8151429133726253,Review as fraud risk,Critical,geographic distance was 3163.700 compared with a typical value of 17.600; this increased the model risk score by 0.344.,transaction amount was 585.680 compared with a typical value of 55.425; this increased the model risk score by 0.029.,log-scaled transaction amount was 6.374 compared with a typical value of 4.033; this increased the model risk score by 0.006.
17,T9038232,2025-03-02 13:34:00,1,1,0.7997084984352169,Review as fraud risk,High,geographic distance was 976.000 compared with a typical value of 17.600; this increased the model risk score by 0.328.,transaction amount was 470.160 compared with a typical value of 55.425; this increased the model risk score by 0.031.,log-scaled transaction amount was 6.155 compared with a typical value of 4.033; this increased the model risk score by 0.006.
18,T9024663,2025-04-16 18:37:00,0,0,0.7795058313393747,Review as fraud risk,High,geographic distance was 6630.700 compared with a typical value of 17.600; this increased the model risk score by 0.362.,,No additional material risk-increasing driver was detected.
19,T9000849,2025-02-16 18:23:00,0,0,0.7795058313393747,Review as fraud risk,High,geographic distance was 1706.600 compared with a typical value of 17.600; this increased the model risk score by 0.362.,,No additional material risk-increasing driver was detected.
20,T9064847,2025-03-18 03:26:00,0,1,0.7795058313393747,Review as fraud risk,High,geographic distance was 2274.800 compared with a typical value of 17.600; this increased the model risk score by 0.362.,,No additional material risk-increasing driver was detected.
21,T9037424,2025-04-25 02:26:00,0,0,0.7795058313393747,Review as fraud risk,High,geographic distance was 4481.400 compared with a typical value of 17.600; this increased the model risk score by 0.362.,,No additional material risk-increasing driver was detected.
22,T9001736,2025-01-20 18:30:00,0,0,0.7795058313393747,Review as fraud risk,High,geographic distance was 1925.500 compared with a typical value of 17.600; this increased the model risk score by 0.362.,,No additional material risk-increasing driver was detected.
23,T9063360,2025-02-18 09:23:00,0,0,0.7795058313393747,Review as fraud risk,High,geographic distance was 2614.500 compared with a typical value of 17.600; this increased the model risk score by 0.362.,,No additional material risk-increasing driver was detected.
24,T9002758,2025-04-16 09:10:00,0,0,0.7795058313393747,Review as fraud risk,High,geographic distance was 3635.900 compared with a typical value of 17.600; this increased the model risk score by 0.362.,,No additional material risk-increasing driver was detected.
25,T9064244,2025-03-18 20:11:00,0,1,0.7795058313393747,Review as fraud risk,High,geographic distance was 3196.400 compared with a typical value of 17.600; this increased the model risk score by 0.362.,,No additional material risk-increasing driver was detected.
