feature,permutation_importance_mean_pr_auc,permutation_importance_std
geo_distance_km,0.0806445600177047,0.01307240632331343
channel,0.013803668969123212,0.0034039884224041756
amount_log1p,0.013606964075742212,0.013999753149952943
transaction_amount_usd,0.006125975771261198,0.013127164663031649
txn_hour,0.002593240808127639,0.00554768796757545
merchant_profile_risk_score,0.0004270057883328002,0.00881656029247031
txn_country,-0.00038431422700990205,0.00066857957168229
merchant_risk_score,-0.0033972597792776282,0.008152557018606892
device_risk_score,-0.005277179519190367,0.008440776500679847
synthetic_identity_score,-0.010813938217464084,0.01702611919765165
